text,label,source
"When we refuse to put real, enforceable laws on the books (close the gun show loophole, restrict private sales) regarding the ownership of firearms by mentally ill people, we pay this price.
When we send young people off to war without just cause and refuse to adequately care for them when they come home, we pay this price.
When we try to confuse the issue by banging on about freedom and resistance to tryanny instead of having an honest discussion about how maybe some people just really shouldn't own firearms, we pay this price.
Over and over and over again.",0,google
"The old roomy ""high plains drifter"" from Fairbanks or a facsimile?",0,google
"Well, let's just stay close to what Jesus said:

St Matthew 16: ""Whoever wishes to come after me must deny himself, take up his cross, and follow me.""

And 
""heart, soul, mind and strength""

If more people would just do a little painful thing every day...such as smiling when they don't want to...how the tone would change.",0,google
Oh I'm so sorry for your loss.  This makes my heart hurt for your two beautiful dogs. Please be well and guard your team.  Such a sad story that as a dog lover I can only imagine........💕😞,0,google
"This is true there are people that need to be cared for. Many, not so much.",0,google
"I just think there is way too much government control.  I wonder if there would be the problem with narcotics today if marijuana and other natural substances were not made illegal?  I have long felt that making natural drugs like pot illegal only has made problems worse.

I guess the house feels we don't need assisted suicide as we already have it witht the second amendment where around 50% of gun deaths are suicides?

Believe me I have fears about how our political system has evolved.  Democrats used to push for change while republicans stood for the status quo.  Now Democrats also tend to stand for the status quo while the republicans want to tear everything down.  Shame they no longer have any Eisenhowers.",0,google
"Yea and we "" heard stories"" about you also. Grow up idiot",1,google
"Impeachment means that the USA will still have 60 million ""poorly educated"" voters  ......................... who will become even louder and more ignorant",0,google
Your facts are very selective and self serving.,0,google
"Normal readers are laughing at, not with the flailing, failing Globe.

   ▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀▀

The United States is our closest friend, ally, and by far our largest trading partner.

Normal, sensible, healthy Canadians are wishing for America to succeed and prosper under incoming President-Elect Donald Trump.

Sad that the Globe would still be spouting spite.",0,google
"The House of Saud is now a House of Cards - complete with pederasts.
 
Not to worry - the USA and Israel have your back.

Never mind your country is the single largest exporter of terrorism in the world, you treat your women like chattel, lop heads off foreigners and use our weapons to lay waste to Yemen.",0,google
"I feel pretty good with the offense, and not at all good about the defense. Yeah, they came through when they had to, but they gave up a ton of big plays. Credit to the Wolf Pack but there was some really poor D and bad tackling (plus special teams issues too). If their D plays the way they should they win that game by 25 points. Hopefully they can learn from it before playing the better teams on their schedule.",0,google
"This is following on after a report I read a few months ago ...about the 'Death of Rugby Union' !
  There focus was mostly on Australia /England/Wales. 
And not just with dwindling crowd support . 
 More about the numbers playing the game . 
  While Geoff Coles asks about 'inclusive'  ...a nice thought . 
Given that rugby started at a public/private school . 
  It was still like that back in the 70's when I played . 
Rugby was mostly for the public/private schools . With a smattering of 'Model C ' :-) schools . 
   Football was for the plebs . 
Now see the growth of football and the death of rugby .",0,google
"Pay no heed to this elitist who is neither white, nor American, yet still feels like his opinion on Whites in America matters.",1,google
"The dividend tax credit is there because of corp taxes.  When the tax goes up the credit goes up ,when the tax goes down the credit goes down.  On small corps the tax rate is low so the credit is very low.",0,google
"""None of them are Canadian citizens""

So why refer to them as 'Canadians' when they are NOT citizens of Canada. 
They are Iranians, Syrians, Iraqis who happen to have PR from Canada.
US took away their NEXUS cards and US will never give them back.",0,google
"Its not called the financial services industry for nothing...
And I agree with other commenters...this is aimed at the parents,grandparents etc etc.

Lots of fun could happen around this fund when the kid turns 21 and wants to buy  a 2009 Mustang....
""But Dad.....its a bargain,and good gas mileage too""
 :)",0,google
My dog just threw up and there were worms in it.  And the worms seem nicer to spend time with than anyone in the letter.,0,google
"The coaches need to do a better job. When they say they are going to ""fix"" stuff like our O-line problem of the past 2 years, you don't just hand out T-shirts with mottos on them and consider it ""fixed"". Every person on that line was the same, same position, same hole, same wimpy result. Elway got suckered if he thought he was getting innovative coaches who were supposed to be aggressive in their style of play. They're team gets trounced for a half and they do nothing to change it during the halftime. They get a bye week to fix things that should have been fixed in the off-season and TC and all VJ can come up with is to tell us how much everyone enjoyed relaxing over the bye - including himself! Stop sucking your lips and start sucking up those guts... fans aren't very happy with the NFL right now and putting out shabby products is NOT going to help.",0,google
